function,813600744,2018,09,19,17,28,22,498280,begin
sensor,814946514,2018,09,19,17,28,23,844050,95,734,300,375,3
sensor,816094945,2018,09,19,17,28,24,992481,95,753,300,385,3
sensor,817248589,2018,09,19,17,28,26,146125,95,744,300,380,3
sensor,817523576,2018,09,19,17,28,26,421112,95,200,300,0,1
sensor,818531701,2018,09,19,17,28,27,429237,95,1900,500,0,1
function,818531842,2018,09,19,17,28,27,429378,end
sensor,818559753,2018,09,19,17,28,27,457289,95,0,0,0
function,826412677,2018,09,19,17,28,35,310213,begin
sensor,827830664,2018,09,19,17,28,36,728200,95,734,300,375,3
sensor,828982305,2018,09,19,17,28,37,879841,95,753,300,385,3
sensor,830103275,2018,09,19,17,28,39,000811,95,744,300,380,3
sensor,830379614,2018,09,19,17,28,39,277150,95,200,300,0,1
sensor,831121563,2018,09,19,17,28,40,019099,95,1900,500,0,1
function,831121658,2018,09,19,17,28,40,019194,end
sensor,831142465,2018,09,19,17,28,40,040001,95,0,0,0
function,834511680,2018,09,19,17,28,43,409216,begin
sensor,835534209,2018,09,19,17,28,44,431745,95,734,300,375,3
sensor,836405505,2018,09,19,17,28,45,303041,95,753,300,385,3
sensor,837406792,2018,09,19,17,28,46,304328,95,744,300,380,3
sensor,837679952,2018,09,19,17,28,46,577488,95,200,300,0,1
sensor,838405371,2018,09,19,17,28,47,302907,95,1900,500,0,1
function,838405463,2018,09,19,17,28,47,302999,end
sensor,838427586,2018,09,19,17,28,47,325122,95,0,0,0
function,847867065,2018,09,19,17,28,56,764601,begin
sensor,849055073,2018,09,19,17,28,57,952609,95,734,300,375,3
sensor,849918549,2018,09,19,17,28,58,816085,95,753,300,385,3
sensor,850918546,2018,09,19,17,28,59,816082,95,744,300,380,3
sensor,851214473,2018,09,19,17,29,00,112009,95,200,300,0,1
sensor,851933482,2018,09,19,17,29,00,831018,95,1900,500,0,1
function,851933579,2018,09,19,17,29,00,831115,end
sensor,851955680,2018,09,19,17,29,00,853216,95,0,0,0
